Participant_number,Extroversion,Agreeableness,Conscientiousness,Neuroticism,Openness to Experience
p2,24,19,40,15,26
p3,28,26,18,23,21
p4,23,31,26,21,20
p5,24,24,31,26,31
p6,39,39,39,30,22
p7,28,19,16,35,30
p8,6,18,35,24,22
p9,24,24,26,15,22
p12,37,35,24,17,28
p13,27,35,28,7,24
p14,29,33,23,9,19
p15,24,29,30,20,22
p16,29,33,23,24,15
p18,16,25,23,12,20
p19,2,18,33,25,19
p20,17,29,23,14,22
p21,12,19,39,17,29
p22,14,26,22,23,11
p23,24,26,32,34,23
p24,9,21,35,6,25
p25,33,38,27,18,33
p26,31,33,26,31,26
p27,11,20,12,9,19
p28,27,32,21,17,22
p29,31,23,10,29,25
p30,11,21,34,23,21
p31,15,29,16,17,23
p32,20,30,34,13,19
p10,11,13,19,7,32
p33,28,30,20,23,28
p35,38,33,17,21,26
p34,29,31,28,21,18
p17,19,21,17,14,28
p11,12,24,10,27,24