participant number,DDA0_dif,DDA1_dif,DDA2_dif,DDA3_dif,DDA0_pref,DDA1_pref,DDA2_pref,DDA3_pref
p2,3,1,2,3,3,1,2,3
p3,3,1,2,4,3,2,4,1
p4,4,1,2,3,1,2,3,3
p5,1,2,3,4,1,2,4,3
p6,2,4,1,3,3,4,2,1
p7,3,1,2,3,3,4,1,2
p8,2,1,2,2,1,2,1,1
p9,1,1,1,2,3,1,3,2
p12,3,2,1,3,3,1,2,3
p13,3,4,1,2,2,1,4,3
p14,3,1,2,4,1,4,3,2
p15,3,2,1,4,2,3,4,1
p16,3,1,2,3,2,4,3,1
p18,3,1,3,2,1,4,3,2
p19,3,2,1,4,2,1,1,2
p20,3,1,2,4,2,1,3,2
p21,3,1,2,3,3,2,1,3
p22,2,3,1,2,1,2,3,1
p23,2,3,1,3,3,4,1,2
p24,2,3,1,3,3,4,2,1
p25,3,2,1,4,3,1,2,4
p26,3,2,1,4,3,1,2,3
p27,2,1,2,2,2,1,2,2
p28,3,2,1,3,4,2,1,3
p29,4,3,2,1,2,4,1,3
p30,2,3,1,2,2,2,2,1
p31,4,2,1,3,4,1,2,3
p32,3,1,4,2,3,1,4,2
p10,2,3,1,4,3,1,4,2
p33,3,1,2,3,1,2,1,1
p35,3,2,1,4,1,4,2,3
p34,2,1,3,4,2,3,1,4
p17,4,3,1,2,2,1,3,4
p11,2,3,2,1,2,4,3,1